"","sampleStatus","pos_556.32152_5.537"
"XBR001","drain_1_Y",4.02396539897095
"XBR003","drain_2_Y",3.86637725863087
"XBR005","drain_1_N",3.87757860480406
"XBR006","drain_1_N",3.87407315656949
"XBR007","drain_2_N",3.87661498451901
"XBR008","drain_2_N",3.88089695487696
"XBR009","drain_3_N",3.89983076604091
"XBR010","drain_3_N",3.87300514203754
"XBR012","drain_1_N",4.43000747846138
"XBR014","drain_1_Y",4.81570830650583
"XBR015","drain_1_N",3.89595183731771
"XBR016","drain_1_Y",3.87254590921194
"XBR019","drain_2_Y",4.17343754757053
"XBR021","drain_1_N",4.18207776980992
"XBR023","drain_1_N",3.88160923948201
"XBR024","drain_2_Y",3.94731379799702
"XBR025","drain_2_N",3.94111190052953
"XBR026","Y",4.54912273300779
"XBR028","drain_2_N",3.98631488839941
"XBR032","drain_2_N",3.83132444767457
"XBR033","drain_2_N",3.86479286981841
"XBR045","drain_1_Y",4.94474780329595
"XBR046","drain_1_Y",4.8112610320713
"XBR050","drain_1_N",3.88687831594255
"XBR052","drain_2_Y",3.84933892192654
"XBR053","drain_2_Y",4.58188831981147
"XBR054","drain_2_N",3.89247052131999
"XBR056","drain_1_N",3.85859639352727
"XBR059","drain_1_N",3.88803508935905
"XBR061","N",3.86887189805822
"XBR063","Y",6.3290513356524
"XBR065","drain_2_N",3.89575132056362
"XBR070","drain_1_N",3.86756096319216
"XBR072","drain_2_N",3.91948464094467
"XBR078","Y",6.09026563696622
"XBR080","Y",5.65152879017062
"XBR081","Y",5.90502410435821
"XBR082","drain_1_N",3.91101483571564
"XBR083","N",3.88149046421099
"XBR084","N",3.86539561594023
"XBR086","drain_3_N",3.87240581182648
"XBR088","drain_2_N",3.88439888636811
"XBR089","N",3.8832285065298
"XBR090","N",3.88229444124178
"XBR091","drain_1_Y",5.14636658301827
"XBR094","drain_2_Y",4.57374544266686
"XBR099","drain_1_N",3.89529582987535
"XBR100","drain_3_Y",4.97985242693152
"XBR311","drain_1_N",3.93707345966966
"XBR312","Y",3.98111555458989
"XBR116","drain_1_Y",5.44170498372581
"XBR117","drain_2_N",3.9560745610789
"XBR119","drain_1_N",3.94575391532758
"XBR120","N",6.25599169255836
"XBR121","drain_2_Y",6.51568360291475
"XBR124","drain_1_N",3.92647034706882
"XBR126","drain_2_N",3.87991614693111
"XBR313","drain_1_Y",4.36717330933966
"XBR127","drain_1_Y",6.95214941838829
"XBR129","drain_3_N",4.30147190425691
"XBR131","drain_1_N",3.87783103521615
"XBR132","drain_2_N",3.92209586346145
"XBR135","drain_3_Y",6.32176845215355
"XBR136","drain_2_N",3.8871866125852
"XBR137","N",3.85160448040711
"XBR315","drain_2_Y",5.22972981193408
"XBR141","N",3.86159147621234
"XBR143","drain_3_N",3.89469465292925
"XBR144","Y",6.80844533197928
"XBR149","Y",6.64244715345773
"XBR150","Y",6.66119142329281
"XBR156","N",3.88470263619868
"XBR158","drain_1_N",4.78907474429636
"XBR159","drain_1_N",3.9043718605938
"XBR160","drain_1_N",3.88670605341901
"XBR161","drain_1_Y",4.73144302978197
"XBR162","drain_1_Y",4.39453782492462
"XBR163","drain_1_N",3.90232013783005
"XBR164","drain_1_N",3.90021634346368
"XBR165","drain_1_Y",3.9080190126222
"XBR166","drain_1_N",3.90131693754728
"XBR167","drain_2_N",3.87972157856042
"XBR168","drain_2_Y",3.89609393126962
"XBR169","drain_2_Y",5.7340021194593
"XBR170","drain_2_Y",5.83189542683101
"XBR171","drain_2_N",3.87487939722022
"XBR172","drain_2_N",3.86282666875486
"XBR173","drain_2_N",3.88488736036815
"XBR174","drain_2_N",3.87585487623022
"XBR175","N",3.89067577599493
"XBR176","drain_1_N",3.89250885345493
"XBR178","drain_1_N",4.20536386856196
"XBR179","drain_1_Y",3.91625185463541
"XBR180","drain_1_N",4.45010326191421
"XBR181","drain_3_N",3.87903022751356
