"","InfUninf","pos_371.23587_14.303"
"XBR026","Infected",6.89266674604491
"XBR061","Uninfected",4.92705474786721
"XBR063","Infected",4.74955785628415
"XBR078","Infected",4.93959649805105
"XBR080","Infected",4.80990528023739
"XBR081","Infected",4.63516649536382
"XBR083","Uninfected",6.90915485054926
"XBR084","Uninfected",6.99773329655454
"XBR089","Uninfected",6.510002938206
"XBR090","Uninfected",6.0337227503456
"XBR312","Infected",6.24698734709493
"XBR120","Uninfected",6.87331872138017
"XBR137","Uninfected",4.64795324469271
"XBR141","Uninfected",4.54494091162764
"XBR144","Infected",4.77525209265487
"XBR149","Infected",4.66959046304514
"XBR150","Infected",4.51141933155972
"XBR156","Uninfected",6.11204989000243
"XBR175","Uninfected",7.28037724340944
"XBR203","Infected",4.56956820765821
"XBR204","Infected",4.61269651989824
"XBR218","Infected",4.55618631471044
"XBR219","Uninfected",4.51870629407204
"XBR221","Uninfected",7.19986006425139
"XBR222","Uninfected",6.69113664172066
"XBR233","Uninfected",7.37180961386491
"XBR236","Infected",4.51856627302625
"XBR237","Infected",4.81192100446221
"XBR238","Uninfected",7.19961798899462
"XBR239","Uninfected",6.67482630883176
"XBR240","Uninfected",4.64780767483307
"XBR241","Uninfected",4.74022325297755
"XBR249","Infected",6.64211935048968
"XBR250","Uninfected",7.34302921993756
"XBR259","Infected",6.05986072226399
"XBR261","Uninfected",4.92616227635977
"XBR262","Uninfected",7.07102783146028
"XBR263","Uninfected",5.0945207800226
"XBR266","Uninfected",6.84739449653606
"XBR267","Uninfected",5.53283307213592
"XBR268","Uninfected",6.74017646942624
"XBR269","Uninfected",4.52224918379557
"XBR270","Uninfected",5.62263691342804
"XBR271","Infected",4.61115697515489
"XBR293","Uninfected",7.23352060034127
"XBR294","Uninfected",6.48405653140861
"XBR295","Uninfected",5.30843729499767
"XBR296","Infected",7.18350917479817
"XBR273","Uninfected",4.55453026133616
"XBR274","Infected",4.62419662961996
"XBR275","Uninfected",5.59659450205605
"XBR276","Infected",4.98729004110549
"XBR297","Uninfected",6.01395616311984
"XBR298","Infected",5.14369615844029
"XBR299","Uninfected",6.51242245527329
"XBR277","Infected",4.61811252783842
"XBR300","Uninfected",7.45866597710398
"XBR301","Uninfected",6.5748336406781
"XBR278","Uninfected",4.74131414960152
"XBR302","Uninfected",4.85120820444667
"XBR303","Infected",4.62719175575511
"XBR304","Infected",4.75489612050526
"XBR279","Uninfected",4.52709825392466
"XBR280","Infected",4.55352839156646
"XBR281","Infected",5.68017444380122
"XBR282","Uninfected",6.5579278589432
"XBR283","Infected",4.79230123159794
"XBR305","Uninfected",6.39460452663509
"XBR284","Infected",4.75959024511906
"XBR285","Infected",6.7324421967198
"XBR286","Infected",4.50515380538745
"XBR287","Infected",4.6690802255778
"XBR306","Uninfected",4.74778997940861
"XBR288","Infected",4.76598893947519
"XBR307","Infected",4.83759640677178
"XBR289","Infected",4.64230395969466
"XBR308","Uninfected",7.27275551369936
"XBR290","Infected",4.60907606737397
"XBR291","Infected",4.49288993119968
"XBR292","Uninfected",4.80509141361676
"XBR272","Uninfected",5.76944264525808
"XBR316","Uninfected",6.23316225313786
