"","sampleStatus","pos_143.11832_1.314"
"XBR001","drain_1_Y",5.97066869746253
"XBR003","drain_2_Y",5.32709395641385
"XBR005","drain_1_N",5.57141530500606
"XBR006","drain_1_N",5.73793166749245
"XBR007","drain_2_N",5.40990337043636
"XBR008","drain_2_N",5.16682092761504
"XBR009","drain_3_N",5.1157111435176
"XBR010","drain_3_N",4.8504235151805
"XBR012","drain_1_N",5.63869974461498
"XBR014","drain_1_Y",5.88016906965744
"XBR015","drain_1_N",5.8105646535995
"XBR016","drain_1_Y",5.5569121756682
"XBR019","drain_2_Y",4.43385678984967
"XBR021","drain_1_N",5.44119494664656
"XBR023","drain_1_N",5.16371612880044
"XBR024","drain_2_Y",5.91313131207828
"XBR025","drain_2_N",5.20242441521681
"XBR026","Y",6.20075702501596
"XBR028","drain_2_N",4.42547021603451
"XBR032","drain_2_N",5.11279927335744
"XBR033","drain_2_N",4.98431083849006
"XBR045","drain_1_Y",6.78099307460477
"XBR046","drain_1_Y",6.77086044408693
"XBR050","drain_1_N",5.86896291021493
"XBR052","drain_2_Y",5.37019090921568
"XBR053","drain_2_Y",6.10963061862674
"XBR054","drain_2_N",4.74601954983395
"XBR056","drain_1_N",6.0508259175375
"XBR059","drain_1_N",5.84140384526148
"XBR061","N",4.80845396253564
"XBR063","Y",7.40818813019005
"XBR065","drain_2_N",5.87468396099589
"XBR070","drain_1_N",5.46456490157052
"XBR072","drain_2_N",5.11504639528103
"XBR078","Y",6.79144093214386
"XBR080","Y",7.30803093482115
"XBR081","Y",7.29206916242475
"XBR082","drain_1_N",5.68626953185073
"XBR083","N",5.62678968786439
"XBR084","N",4.82600078885507
"XBR086","drain_3_N",5.26378297301778
"XBR088","drain_2_N",5.75199042589053
"XBR089","N",4.62780419386665
"XBR090","N",5.05114446920188
"XBR091","drain_1_Y",6.35774092589328
"XBR094","drain_2_Y",5.79456654132515
"XBR099","drain_1_N",5.95827602628023
"XBR100","drain_3_Y",6.62193833313559
"XBR311","drain_1_N",5.9878825424395
"XBR312","Y",6.04127559384781
"XBR116","drain_1_Y",6.49678633117724
"XBR117","drain_2_N",5.99984113755635
"XBR119","drain_1_N",5.7892600404141
"XBR120","N",6.97698988377398
"XBR121","drain_2_Y",7.12256022803648
"XBR124","drain_1_N",5.03664503780401
"XBR126","drain_2_N",5.62871418798296
"XBR313","drain_1_Y",4.77134954307267
"XBR127","drain_1_Y",7.19566939428128
"XBR129","drain_3_N",6.11462716623676
"XBR131","drain_1_N",5.63924794579557
"XBR132","drain_2_N",4.18971578678268
"XBR135","drain_3_Y",7.37080295629799
"XBR136","drain_2_N",5.80467607890323
"XBR137","N",5.27428114459634
"XBR315","drain_2_Y",4.51817570152139
"XBR141","N",5.11413613125306
"XBR143","drain_3_N",6.46879212205066
"XBR144","Y",7.44099934331059
"XBR149","Y",6.98543981740756
"XBR150","Y",7.01510441791225
"XBR156","N",5.69257006072514
"XBR158","drain_1_N",5.63040702594845
"XBR159","drain_1_N",5.625925635638
"XBR160","drain_1_N",5.76858383827421
"XBR161","drain_1_Y",5.2401398831165
"XBR162","drain_1_Y",4.48938024589028
"XBR163","drain_1_N",5.86619889141354
"XBR164","drain_1_N",6.35227741594935
"XBR165","drain_1_Y",4.75219933601618
"XBR166","drain_1_N",4.41768410242976
"XBR167","drain_2_N",4.48616304711525
"XBR168","drain_2_Y",5.51086341937045
"XBR169","drain_2_Y",5.34149879540554
"XBR170","drain_2_Y",6.33562167725812
"XBR171","drain_2_N",6.09500558386422
"XBR172","drain_2_N",5.97448017153157
"XBR173","drain_2_N",5.94102017539142
"XBR174","drain_2_N",6.25843391347382
"XBR175","N",4.90708638189054
"XBR176","drain_1_N",5.81847524024514
"XBR178","drain_1_N",5.97663242009935
"XBR179","drain_1_Y",6.29300446957212
"XBR180","drain_1_N",6.41678508586106
"XBR181","drain_3_N",5.77405918150915
"XBR182","drain_3_Y",6.13685825471921
