"","sampleStatus","pos_244.22611_1.022"
"XBR001","drain_1_Y",5.17845756722165
"XBR003","drain_2_Y",5.16517104647891
"XBR005","drain_1_N",5.24717869600639
"XBR006","drain_1_N",5.45649211283644
"XBR007","drain_2_N",5.1660142040509
"XBR008","drain_2_N",5.16029688905724
"XBR009","drain_3_N",5.16647389959173
"XBR010","drain_3_N",5.13857908175415
"XBR012","drain_1_N",5.48305736742769
"XBR014","drain_1_Y",6.05501264372116
"XBR015","drain_1_N",5.16557356631132
"XBR016","drain_1_Y",5.15345655620333
"XBR019","drain_2_Y",5.15149358570507
"XBR021","drain_1_N",5.55849555240295
"XBR023","drain_1_N",4.80071812271813
"XBR024","drain_2_Y",5.71725314603698
"XBR025","drain_2_N",5.18049480934562
"XBR026","Y",6.20247779959548
"XBR028","drain_2_N",5.16424992233907
"XBR032","drain_2_N",5.1523949802523
"XBR033","drain_2_N",5.13290375692862
"XBR045","drain_1_Y",6.71209879328713
"XBR046","drain_1_Y",6.60975515262349
"XBR050","drain_1_N",5.16052148510537
"XBR052","drain_2_Y",5.65744920860119
"XBR053","drain_2_Y",6.3015834009588
"XBR054","drain_2_N",5.1494520737929
"XBR056","drain_1_N",5.2091177880535
"XBR059","drain_1_N",5.43099892551588
"XBR061","N",5.1568061648804
"XBR063","Y",6.46246513448659
"XBR065","drain_2_N",5.86157271460026
"XBR070","drain_1_N",5.61151629325191
"XBR072","drain_2_N",5.15403235880013
"XBR078","Y",6.72442330107051
"XBR080","Y",7.15080167533639
"XBR081","Y",7.13257257820696
"XBR082","drain_1_N",4.89179002402182
"XBR083","N",5.45529236884381
"XBR084","N",5.15034429563392
"XBR086","drain_3_N",5.15407575001967
"XBR088","drain_2_N",5.16098174721946
"XBR089","N",5.13365772083489
"XBR090","N",5.6119511421939
"XBR091","drain_1_Y",5.98743091051324
"XBR094","drain_2_Y",5.92040645056956
"XBR099","drain_1_N",5.1839837390947
"XBR100","drain_3_Y",6.20473329137214
"XBR311","drain_1_N",5.15711279402866
"XBR312","Y",6.56848105987065
"XBR116","drain_1_Y",6.62434848489684
"XBR117","drain_2_N",5.71163531222561
"XBR119","drain_1_N",5.38377543076677
"XBR120","N",7.26273334161504
"XBR121","drain_2_Y",7.30848362770115
"XBR124","drain_1_N",5.15920967950723
"XBR126","drain_2_N",5.13697365728112
"XBR313","drain_1_Y",5.18014076512826
"XBR127","drain_1_Y",7.65773766135922
"XBR129","drain_3_N",5.89493902214186
"XBR131","drain_1_N",5.18236808226964
"XBR132","drain_2_N",5.142867479141
"XBR135","drain_3_Y",6.83478872400217
"XBR136","drain_2_N",5.16428768560288
"XBR137","N",5.16196987475687
"XBR315","drain_2_Y",5.70900788112938
"XBR141","N",5.1474320680075
"XBR143","drain_3_N",5.16828499879166
"XBR144","Y",7.6048537847798
"XBR149","Y",7.1309992229384
"XBR150","Y",7.32329170581614
"XBR156","N",5.18671095472141
"XBR158","drain_1_N",5.30623059511045
"XBR159","drain_1_N",4.6219380823501
"XBR160","drain_1_N",5.14816982235566
"XBR161","drain_1_Y",5.16954421992993
"XBR162","drain_1_Y",5.19025150963932
"XBR163","drain_1_N",5.1469524299323
"XBR164","drain_1_N",6.14870859585694
"XBR165","drain_1_Y",5.16155237411501
"XBR166","drain_1_N",5.19638020713858
"XBR167","drain_2_N",5.17401985603109
"XBR168","drain_2_Y",5.17046546556017
"XBR169","drain_2_Y",5.8729099952999
"XBR170","drain_2_Y",6.16407640214045
"XBR171","drain_2_N",6.3099788197691
"XBR172","drain_2_N",5.26804732957701
"XBR173","drain_2_N",5.1761377489497
"XBR174","drain_2_N",5.14896396363408
"XBR175","N",5.14973911280762
"XBR176","drain_1_N",5.18887235860566
"XBR178","drain_1_N",5.63650603664558
"XBR179","drain_1_Y",5.20106778814754
"XBR180","drain_1_N",5.85978090730519
"XBR181","drain_3_N",5.18216662829579
"XBR182","drain_3_Y",5.14566197725433
"XBR183","drain_3_N",5.19702201116475
"XBR184","drain_2_N",5.16193799774779
"XBR185","drain_3_Y",5.41779938581361
"XBR186","drain_3_Y",7.28425314283945
"XBR187","drain_2_Y",5.18980215569364
"XBR188","drain_2_N",5.18588807270036
"XBR194","drain_2_N",5.11668345868933
"XBR197","drain_1_N",5.17346103654172
"XBR198","drain_1_N",5.14209579880224
"XBR199","drain_3_N",5.18407106010304
"XBR200","drain_3_Y",5.19662862125689
"XBR203","Y",6.9332462642778
"XBR204","Y",7.21846677228224
"XBR207","drain_2_N",5.15077762462743
"XBR218","Y",5.75892560136031
"XBR219","N",5.56411893874876
"XBR221","N",7.24748349944626
"XBR222","N",6.61138561005336
"XBR225","drain_1_Y",5.16005359463704
"XBR227","drain_1_Y",5.19310427206187
"XBR228","drain_1_Y",5.532161941544
"XBR230","drain_2_Y",5.12273469045168
"XBR231","drain_2_Y",5.28489411654949
"XBR232","drain_2_Y",6.49572007553113
"XBR233","N",5.14307007336334
"XBR234","drain_3_Y",5.11875352801992
"XBR235","drain_3_Y",5.51235583209108
"XBR236","Y",6.52859766076671
"XBR237","Y",7.44836686635318
"XBR238","N",6.14588663518916
"XBR239","N",5.14904998979132
"XBR240","N",6.1299752178801
"XBR241","N",6.28820988726581
"XBR245","drain_3_Y",6.61719505325937
"XBR249","Y",6.97627855104041
"XBR250","N",5.76227268885235
"XBR251","drain_1_N",6.21497309868366
"XBR257","drain_2_N",5.62201149107707
"XBR259","Y",7.70797811804789
"XBR261","N",5.17042381871246
"XBR262","N",5.61656673030649
"XBR263","N",5.13802468852903
"XBR266","N",5.17832686257193
"XBR267","N",5.18991513024506
"XBR268","N",5.13566368953565
"XBR269","N",5.19567483660112
"XBR270","N",5.45414189534664
"XBR271","Y",8.39023583046634
"XBR293","N",5.17425495146589
"XBR294","N",5.42636741775633
"XBR295","N",5.16006458841526
"XBR296","Y",7.24336751919365
"XBR273","N",5.34752551800859
"XBR274","Y",5.17098034474113
"XBR275","N",5.15328487218495
"XBR276","Y",6.92309578422799
"XBR297","N",5.35527293129164
"XBR298","Y",7.5440335447358
"XBR299","N",5.64594391050916
"XBR277","Y",5.54050742071985
"XBR300","N",6.8640001851587
"XBR301","N",5.1356074240292
"XBR278","N",5.14601154879189
"XBR302","N",5.12426917597188
"XBR303","Y",6.43980600394786
"XBR304","Y",6.56959023283039
"XBR279","N",6.09193795366593
"XBR280","Y",6.61997229185361
"XBR281","Y",6.38661688751243
"XBR282","N",6.89839870996782
"XBR283","Y",6.46660307046401
"XBR305","N",5.13209476755937
"XBR284","Y",5.97802209185123
"XBR285","Y",7.30140069666762
"XBR286","Y",6.4161507906069
"XBR287","Y",7.944617961197
"XBR306","N",5.71966732466045
"XBR288","Y",5.16569886100042
"XBR307","Y",7.6798824425723
"XBR289","Y",6.51633963220234
"XBR308","N",7.23561994261121
"XBR290","Y",5.68905498963689
"XBR291","Y",6.86346107923266
"XBR292","N",5.14391781788617
"XBR272","N",5.58814034960321
"XBR316","N",5.07570358207265
